VTX, IDX, _input0.x, _input0.y, _input0.z, _input0.w, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y
0, 0,  0.78955, -0.08313,  0.08063,  1.00,  1.00,  0.00,  0.01575,  0.00,  0.00,  0.00
1, 1,  0.78955, -5.96046E-08,  0.08063,  1.00,  1.00,  0.00,  0.01575,  0.00,  0.00,  0.50
2, 2,  0.78906, -5.96046E-08,  0.10797,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.50
3, 0,  0.78955, -0.08313,  0.08063,  1.00,  1.00,  0.00,  0.01575,  0.00,  0.00,  0.00
4, 2,  0.78906, -5.96046E-08,  0.10797,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.50
5, 3,  0.78906, -0.10101,  0.10596,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.00
6, 3,  0.78906, -0.10101,  0.10596,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.00
7, 2,  0.78906, -5.96046E-08,  0.10797,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.50
8, 4,  0.78711, -5.96046E-08,  0.14148,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.50
9, 3,  0.78906, -0.10101,  0.10596,  1.00,  1.00,  0.00,  0.03937,  0.00,  0.02083,  0.00
10, 4,  0.78711, -5.96046E-08,  0.14148,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.50
11, 5,  0.78711, -0.12024,  0.13806,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.00
12, 5,  0.78711, -0.12024,  0.13806,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.00
13, 4,  0.78711, -5.96046E-08,  0.14148,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.50
14, 6,  0.7832, -5.96046E-08,  0.18054,  1.00,  0.99213,  0.00,  0.12598,  0.00,  0.0625,  0.50
15, 5,  0.78711, -0.12024,  0.13806,  1.00,  1.00,  0.00,  0.07874,  0.00,  0.04166,  0.00
16, 6,  0.7832, -5.96046E-08,  0.18054,  1.00,  0.99213,  0.00,  0.12598,  0.00,  0.0625,  0.50
17, 7,  0.78369, -0.14038,  0.17615,  1.00,  0.99213,  0.00,  0.13386,  0.00,  0.0625,  0.00
18, 7,  0.78369, -0.14038,  0.17615,  1.00,  0.99213,  0.00,  0.13386,  0.00,  0.0625,  0.00
19, 6,  0.7832, -5.96046E-08,  0.18054,  1.00,  0.99213,  0.00,  0.12598,  0.00,  0.0625,  0.50
20, 8,  0.77637, -5.96046E-08,  0.22424,  1.00,  0.98425,  0.00,  0.1811,  0.00,  0.08331,  0.50
21, 7,  0.78369, -0.14038,  0.17615,  1.00,  0.99213,  0.00,  0.13386,  0.00,  0.0625,  0.00
22, 8,  0.77637, -5.96046E-08,  0.22424,  1.00,  0.98425,  0.00,  0.1811,  0.00,  0.08331,  0.50
23, 9,  0.77734, -0.16138,  0.21924,  1.00,  0.98425,  0.00,  0.18898,  0.00,  0.08331,  0.00
24, 9,  0.77734, -0.16138,  0.21924,  1.00,  0.98425,  0.00,  0.18898,  0.00,  0.08331,  0.00
25, 8,  0.77637, -5.96046E-08,  0.22424,  1.00,  0.98425,  0.00,  0.1811,  0.00,  0.08331,  0.50
26, 10,  0.76611, -5.96046E-08,  0.27148,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.50
27, 9,  0.77734, -0.16138,  0.21924,  1.00,  0.98425,  0.00,  0.18898,  0.00,  0.08331,  0.00
28, 10,  0.76611, -5.96046E-08,  0.27148,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.50
29, 11,  0.76709, -0.18286,  0.26636,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.00
30, 11,  0.76709, -0.18286,  0.26636,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.00
31, 10,  0.76611, -5.96046E-08,  0.27148,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.50
32, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
33, 11,  0.76709, -0.18286,  0.26636,  1.00,  0.9685,  0.00,  0.24409,  0.00,  0.10419,  0.00
34, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
35, 13,  0.75342, -0.20471,  0.31689,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.00
36, 13,  0.75342, -0.20471,  0.31689,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.00
37, 12,  0.75146,  0.00,  0.32178,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.50
38, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
39, 13,  0.75342, -0.20471,  0.31689,  1.00,  0.95276,  0.00,  0.30709,  0.00,  0.125,  0.00
40, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
41, 15,  0.73486, -0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37795,  0.00,  0.14587,  0.00
42, 15,  0.73486, -0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37795,  0.00,  0.14587,  0.00
43, 14,  0.73291,  0.00,  0.37378,  1.00,  0.92913,  0.00,  0.37008,  0.00,  0.14587,  0.50
44, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
45, 15,  0.73486, -0.22644,  0.36914,  1.00,  0.92913,  0.00,  0.37795,  0.00,  0.14587,  0.00
46, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
47, 17,  0.71143, -0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.00
48, 17,  0.71143, -0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.00
49, 16,  0.70947,  0.00,  0.42651,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.50
50, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
51, 17,  0.71143, -0.24805,  0.42236,  1.00,  0.89764,  0.00,  0.44094,  0.00,  0.16663,  0.00
52, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
53, 19,  0.68359, -0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  0.00
54, 19,  0.68359, -0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  0.00
55, 18,  0.68164,  0.00,  0.47876,  1.00,  0.86614,  0.00,  0.50394,  0.00,  0.1875,  0.50
56, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
57, 19,  0.68359, -0.26904,  0.47534,  1.00,  0.85827,  0.00,  0.50394,  0.00,  0.1875,  0.00
58, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
59, 21,  0.65088, -0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  0.00
60, 21,  0.65088, -0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  0.00
61, 20,  0.64941,  0.00,  0.52979,  1.00,  0.8189,  0.00,  0.56693,  0.00,  0.20837,  0.50
62, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
63, 21,  0.65088, -0.28931,  0.52734,  1.00,  0.8189,  0.00,  0.5748,  0.00,  0.20837,  0.00
64, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
65, 23,  0.61426, -0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.6378,  0.00,  0.22913,  0.00
66, 23,  0.61426, -0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.6378,  0.00,  0.22913,  0.00
67, 22,  0.61279,  0.00,  0.57861,  1.00,  0.77953,  0.00,  0.62992,  0.00,  0.22913,  0.50
68, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
69, 23,  0.61426, -0.30884,  0.57666,  1.00,  0.77165,  0.00,  0.6378,  0.00,  0.22913,  0.00
70, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
71, 25,  0.57373, -0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  0.00
72, 25,  0.57373, -0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  0.00
73, 24,  0.57275,  0.00,  0.62402,  1.00,  0.72441,  0.00,  0.68504,  0.00,  0.25,  0.50
74, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
75, 25,  0.57373, -0.3269,  0.62256,  1.00,  0.72441,  0.00,  0.69291,  0.00,  0.25,  0.00
76, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
77, 27,  0.53076, -0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  0.00
78, 27,  0.53076, -0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  0.00
79, 26,  0.52979,  0.00,  0.66553,  1.00,  0.66929,  0.00,  0.74016,  0.00,  0.27075,  0.50
80, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
81, 27,  0.53076, -0.34351,  0.66504,  1.00,  0.66929,  0.00,  0.74803,  0.00,  0.27075,  0.00
82, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
83, 29,  0.48584, -0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.00
84, 29,  0.48584, -0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.00
85, 28,  0.48535,  0.00,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.50
86, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
87, 29,  0.48584, -0.35815,  0.70313,  1.00,  0.61417,  0.00,  0.7874,  0.00,  0.29175,  0.00
88, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
89, 31,  0.43994, -0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  0.00
90, 31,  0.43994, -0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  0.00
91, 30,  0.43994,  0.00,  0.73633,  1.00,  0.55906,  0.00,  0.82677,  0.00,  0.3125,  0.50
92, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
93, 31,  0.43994, -0.37109,  0.73584,  1.00,  0.55118,  0.00,  0.83465,  0.00,  0.3125,  0.00
94, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
95, 33,  0.39478, -0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  0.00
96, 33,  0.39478, -0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  0.00
97, 32,  0.39478,  0.00,  0.76416,  1.00,  0.50394,  0.00,  0.86614,  0.00,  0.33325,  0.50
98, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
99, 33,  0.39478, -0.38159,  0.76416,  1.00,  0.49606,  0.00,  0.86614,  0.00,  0.33325,  0.00
100, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
101, 35,  0.34912, -0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.00
102, 35,  0.34912, -0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.00
103, 34,  0.34912,  0.00,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.50
104, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
105, 35,  0.34912, -0.39038,  0.78857,  1.00,  0.44094,  0.00,  0.89764,  0.00,  0.35425,  0.00
106, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
107, 37,  0.302, -0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  0.00
108, 37,  0.302, -0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  0.00
109, 36,  0.302,  0.00,  0.81006,  1.00,  0.38583,  0.00,  0.92126,  0.00,  0.375,  0.50
110, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
111, 37,  0.302, -0.39795,  0.81006,  1.00,  0.37795,  0.00,  0.92126,  0.00,  0.375,  0.00
112, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
113, 39,  0.25366, -0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.00
114, 39,  0.25366, -0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.00
115, 38,  0.25366,  0.00,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.50
116, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
117, 39,  0.25366, -0.4043,  0.82813,  1.00,  0.32283,  0.00,  0.94488,  0.00,  0.39575,  0.00
118, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
119, 41,  0.20435, -0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.00
120, 41,  0.20435, -0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.00
121, 40,  0.20435,  0.00,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.50
122, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
123, 41,  0.20435, -0.40967,  0.84326,  1.00,  0.25984,  0.00,  0.9685,  0.00,  0.41675,  0.00
124, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
125, 43,  0.15405, -0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.00
126, 43,  0.15405, -0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.00
127, 42,  0.15405,  0.00,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.50
128, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
129, 43,  0.15405, -0.41382,  0.85498,  1.00,  0.19685,  0.00,  0.98425,  0.00,  0.4375,  0.00
130, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
131, 45,  0.10303, -0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  0.00
132, 45,  0.10303, -0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  0.00
133, 44,  0.10303,  0.00,  0.86328,  1.00,  0.13386,  0.00,  0.99213,  0.00,  0.45825,  0.50
134, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
135, 45,  0.10303, -0.41699,  0.86328,  1.00,  0.12598,  0.00,  0.99213,  0.00,  0.45825,  0.00
136, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
137, 47,  0.05164, -0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.00
138, 47,  0.05164, -0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.00
139, 46,  0.05164,  0.00,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.50
140, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
141, 47,  0.05164, -0.4187,  0.86816,  1.00,  0.06299,  0.00,  1.00,  0.00,  0.47925,  0.00
142, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
143, 49, -1.19209E-07, -0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.00
144, 49, -1.19209E-07, -0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.00
145, 48, -1.19209E-07,  0.00,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.50
146, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
147, 49, -1.19209E-07, -0.41943,  0.87012,  1.00,  0.00,  0.00,  1.00,  0.00,  0.50,  0.00
148, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
149, 51, -0.05164, -0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.00
150, 51, -0.05164, -0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.00
151, 50, -0.05164,  0.00,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.50
152, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
153, 51, -0.05164, -0.41895,  0.86816,  1.00, -0.06299,  0.00,  1.00,  0.00,  0.521,  0.00
154, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
155, 53, -0.10303, -0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  0.00
156, 53, -0.10303, -0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  0.00
157, 52, -0.10303,  0.00,  0.86328,  1.00, -0.13386,  0.00,  0.99213,  0.00,  0.5415,  0.50
158, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
159, 53, -0.10303, -0.41724,  0.86328,  1.00, -0.12598,  0.00,  0.99213,  0.00,  0.5415,  0.00
160, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
161, 55, -0.15405, -0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.00
162, 55, -0.15405, -0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.00
163, 54, -0.15405,  0.00,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.50
164, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
165, 55, -0.15405, -0.41431,  0.85498,  1.00, -0.19685,  0.00,  0.98425,  0.00,  0.5625,  0.00
166, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
167, 57, -0.20435, -0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.00
168, 57, -0.20435, -0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.00
169, 56, -0.20435,  0.00,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.50
170, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
171, 57, -0.20435, -0.41016,  0.84326,  1.00, -0.25984,  0.00,  0.9685,  0.00,  0.5835,  0.00
172, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
173, 59, -0.25366, -0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.00
174, 59, -0.25366, -0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.00
175, 58, -0.25366,  0.00,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.50
176, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
177, 59, -0.25366, -0.40479,  0.82813,  1.00, -0.32283,  0.00,  0.94488,  0.00,  0.604,  0.00
178, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
179, 61, -0.302, -0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  0.00
180, 61, -0.302, -0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  0.00
181, 60, -0.302,  0.00,  0.81006,  1.00, -0.38583,  0.00,  0.92126,  0.00,  0.625,  0.50
182, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
183, 61, -0.302, -0.39819,  0.81006,  1.00, -0.37795,  0.00,  0.92126,  0.00,  0.625,  0.00
184, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
185, 63, -0.34912, -0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.00
186, 63, -0.34912, -0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.00
187, 62, -0.34912,  0.00,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.50
188, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
189, 63, -0.34912, -0.39063,  0.78857,  1.00, -0.44094,  0.00,  0.89764,  0.00,  0.646,  0.00
190, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
191, 65, -0.39478, -0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  0.00
192, 65, -0.39478, -0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  0.00
193, 64, -0.39478,  0.00,  0.76416,  1.00, -0.50394,  0.00,  0.86614,  0.00,  0.6665,  0.50
194, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
195, 65, -0.39478, -0.38159,  0.76416,  1.00, -0.49606,  0.00,  0.86614,  0.00,  0.6665,  0.00
196, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
197, 67, -0.44019, -0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  0.00
198, 67, -0.44019, -0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  0.00
199, 66, -0.43994,  0.00,  0.73584,  1.00, -0.55906,  0.00,  0.82677,  0.00,  0.6875,  0.50
200, 68, -0.4856,  0.00,  0.70313,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.50
201, 67, -0.44019, -0.37061,  0.73584,  1.00, -0.55118,  0.00,  0.83465,  0.00,  0.6875,  0.00
202, 68, -0.4856,  0.00,  0.70313,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.50
203, 69, -0.48584, -0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.00
204, 69, -0.48584, -0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.00
205, 68, -0.4856,  0.00,  0.70313,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.50
206, 70, -0.53027,  0.00,  0.66553,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.50
207, 69, -0.48584, -0.35742,  0.70264,  1.00, -0.61417,  0.00,  0.7874,  0.00,  0.7085,  0.00
208, 70, -0.53027,  0.00,  0.66553,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.50
209, 71, -0.53076, -0.34229,  0.66504,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.00
210, 71, -0.53076, -0.34229,  0.66504,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.00
211, 70, -0.53027,  0.00,  0.66553,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.50
212, 72, -0.57324,  0.00,  0.62354,  1.00, -0.72441,  0.00,  0.68504,  0.00,  0.75,  0.50
213, 71, -0.53076, -0.34229,  0.66504,  1.00, -0.66929,  0.00,  0.74016,  0.00,  0.729,  0.00
214, 72, -0.57324,  0.00,  0.62354,  1.00, -0.72441,  0.00,  0.68504,  0.00,  0.75,  0.50
215, 73, -0.57422, -0.32495,  0.62256,  1.00, -0.72441,  0.00,  0.69291,  0.00,  0.75,  0.00
216, 73, -0.57422, -0.32495,  0.62256,  1.00, -0.72441,  0.00,  0.69291,  0.00,  0.75,  0.00
217, 72, -0.57324,  0.00,  0.62354,  1.00, -0.72441,  0.00,  0.68504,  0.00,  0.75,  0.50
218, 74, -0.61328,  0.00,  0.57764,  1.00, -0.77953,  0.00,  0.62992,  0.00,  0.771,  0.50
219, 73, -0.57422, -0.32495,  0.62256,  1.00, -0.72441,  0.00,  0.69291,  0.00,  0.75,  0.00
220, 74, -0.61328,  0.00,  0.57764,  1.00, -0.77953,  0.00,  0.62992,  0.00,  0.771,  0.50
221, 75, -0.61475, -0.3064,  0.57617,  1.00, -0.77165,  0.00,  0.62992,  0.00,  0.771,  0.00
222, 75, -0.61475, -0.3064,  0.57617,  1.00, -0.77165,  0.00,  0.62992,  0.00,  0.771,  0.00
223, 74, -0.61328,  0.00,  0.57764,  1.00, -0.77953,  0.00,  0.62992,  0.00,  0.771,  0.50
224, 76, -0.6499,  0.00,  0.52881,  1.00, -0.82677,  0.00,  0.56693,  0.00,  0.7915,  0.50
225, 75, -0.61475, -0.3064,  0.57617,  1.00, -0.77165,  0.00,  0.62992,  0.00,  0.771,  0.00
226, 76, -0.6499,  0.00,  0.52881,  1.00, -0.82677,  0.00,  0.56693,  0.00,  0.7915,  0.50
227, 77, -0.65137, -0.28638,  0.52637,  1.00, -0.8189,  0.00,  0.5748,  0.00,  0.7915,  0.00
228, 77, -0.65137, -0.28638,  0.52637,  1.00, -0.8189,  0.00,  0.5748,  0.00,  0.7915,  0.00
229, 76, -0.6499,  0.00,  0.52881,  1.00, -0.82677,  0.00,  0.56693,  0.00,  0.7915,  0.50
